browser	body-abs	body	cookie-abs	cookie	path-abs	path	query-param-abs	query-param
chrome	45.125	4.56557480713292	642.0625	64.96142658403946	15.9375	1.61249525736689	285.25	28.860503351460732
chrome-brave	23.3125	11.344282238442823	123.5625	60.127737226277375	22.0	10.70559610705596	36.625	17.822384428223845
chrome-ubo	45.0625	4.401709401709402	663.625	64.82295482295483	17.875	1.746031746031746	297.1875	29.02930402930403
firefox	33.125	6.868843960601348	243.4375	50.47952306894764	10.375	2.15137376879212	195.3125	40.50025920165889
safari	54.25	3.772108991351962	871.875	60.623180218156534	51.625	3.589587588544609	460.4375	32.01512320194689
