browser	body-abs	body	cookie-abs	cookie	path-abs	path	query-param-abs	query-param
chrome	42.09375	2.5366276223117774	1014.875	61.15777183533577	48.84375	2.943391962637942	553.625	33.36220857971451
chrome-brave	103.84375	8.532764995891537	774.25	63.61955628594905	103.78125	8.527629416598192	235.125	19.320049301561216
chrome-ubo	43.09375	2.5529000129588835	1024.96875	60.7197734046689	50.375	2.984245700427643	569.59375	33.74308088194457
firefox	33.6875	3.6584538111721985	584.03125	63.4256431140976	18.78125	2.0396389058575988	284.3125	30.8762641688726
safari	59.84375	2.36119502361195	1639.875	64.70290864702909	123.3125	4.86541804865418	711.4375	28.070478280704783
