browser	body-abs	body	cookie-abs	cookie	path-abs	path	query-param-abs	query-param
chrome	39.0625	1.67614245869985	1387.6875	59.544625616820426	81.75	3.5078309375670456	822.0	35.27140098691268
chrome-brave	184.375	8.27350235584474	1424.9375	63.94155261386583	185.5625	8.326789320170517	433.625	19.458155710118913
chrome-ubo	41.125	1.7482796184605573	1386.3125	58.934027685522224	82.875	3.523128835985865	842.0	35.79456386003135
firefox	34.25	2.5195402298850573	924.625	68.0183908045977	27.1875	2.0	373.3125	27.46206896551724
safari	65.4375	1.8023135715761207	2407.875	66.31894236727949	195.0	5.370791158851477	962.4375	26.507952902292914
