	1_min	2_mean	3_max	4_5th	5_25th	6_median	7_75th	8_95th
Advertising	2.0	123.3361323772041	4630.25	2.0625	6.578125	17.34375	65.0	458.0874999999995
Analytics	2.0	38.06317084499422	280.25	2.10625	5.421875	15.75	40.28125	162.79374999999996
Content	2.0	124.67396744271983	1794.9375	2.35	6.53125	18.03125	81.125	581.2718749999999
Easylist	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
Fingerprinting	3.25	9.859077380952382	23.0	3.628125	4.984375	7.1875	11.28125	20.562499999999993
Rest	2.0	34.81276857822707	1648.625	2.0	3.9375	7.75	19.390625	118.58749999999993
Social	2.0	93.42578914141413	359.125	6.1156250000000005	26.625	61.84375	114.171875	270.9124999999999
