	1_min	2_mean	3_max	4_5th	5_25th	6_median	7_75th	8_95th
Advertising	2.75	45.58211273646245	201.0	4.25	9.8125	25.15625	67.96875	134.00937499999998
Analytics	12.125	45.40416666666666	98.375	13.753125	19.875	33.5625	62.421875	90.678125
Content	2.0625	34.338292560035775	808.3125	3.203125	7.640625	11.25	18.890625	87.47499999999985
Fingerprinting	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0
Rest	2.0	37.847534152957095	1249.4375	2.1875	7.875	16.875	39.359375	127.93437499999993
Social	25.375	45.979166666666664	67.4375	27.35	35.25	45.125	56.28125	65.20625
