	1_min	2_mean	3_max	4_5th	5_25th	6_median	7_75th	8_95th
Advertising	2.0	109.57225964540513	4613.9375	2.009375	6.921875	20.40625	67.984375	427.6531249999995
Analytics	2.0	25.21776442515418	182.625	2.05625	5.421875	13.34375	29.765625	82.76562499999994
Content	2.0	211.62292510539675	3488.3125	2.1875	5.046875	13.8125	65.59375	744.2562499999995
Easylist	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
Fingerprinting	3.375	7.1104166666666675	12.4375	3.5875	4.4375	5.9375	8.96875	11.74375
Rest	2.0	21.483824377120484	419.0625	2.0	3.109375	6.15625	16.546875	90.64062499999993
Social	3.5625	61.94507124819625	242.8125	4.7375	11.828125	26.625	81.46875	197.53437499999993
