	1_min	2_mean	3_max	4_5th	5_25th	6_median	7_75th	8_95th
Advertising	2.0	116.4480454623496	4784.0625	2.00625	6.6875	20.59375	69.015625	447.6062499999995
Analytics	2.0	26.147668112873465	184.0	2.0	5.21875	13.25	30.375	90.14374999999994
Content	2.0	164.14098911608627	2222.6875	2.325	5.375	16.46875	80.984375	695.9124999999995
Easylist	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
Fingerprinting	4.866666666666666	10.93888888888889	19.733333333333334	5.223333333333334	6.716666666666667	8.533333333333333	13.733333333333333	18.506666666666668
Rest	2.0	22.078487224916906	422.3125	2.0	3.546875	6.375	18.1875	86.83749999999995
Social	2.0625	57.88859577922078	236.8125	2.871875	9.328125	26.84375	73.671875	188.88749999999993
