	1_min	2_mean	3_max	4_5th	5_25th	6_median	7_75th	8_95th
Advertising	2.15	81.76263055340424	2884.625	2.465625	6.615625	18.0625	57.128125	300.7581249999997
Analytics	4.025	30.80027866722486	173.075	4.385	7.8125	16.48125	36.525	102.20437499999996
Content	2.025	125.27601784835663	1896.05	2.5650000000000004	6.14375	16.05	62.040625	489.59249999999963
Easylist	2.1875	2.1875	2.1875	2.1875	2.1875	2.1875	2.1875	2.1875
Fingerprinting	19.12333333333333	22.406676587301586	27.85916666666667	19.312791666666666	20.052708333333335	21.156666666666666	23.621666666666666	26.987583333333333
Rest	2.0	27.67059093404659	873.075	2.0375	4.36875	8.63125	21.953125	98.71499999999993
Social	7.425	53.36334956709957	183.2875	9.131250000000001	17.8875	33.7125	66.946875	146.51374999999996
