browser	all_third_parties	alexa_third_parties	tw_third_parties
chrome-ubo	38.930332658710306	37.76047279762578	62.16189513512979
chrome	39.20037825198712	38.13073045704174	61.288431488393165
firefox	32.97303710109739	30.952058549620155	37.378726923594954
chrome-brave	49.52706380739422	50.00581997813208	17.966536905961203
safari	50.015425095961675	48.086823776459624	68.8131688983083
