points	occurences	percentage	cdf
2	7217	18.531737880032868	18.531737880032868
3	3585	9.205525883319638	27.737263763352505
4	2935	7.536462612982745	35.27372637633525
5	2603	6.683956450287592	41.95768282662284
6	2313	5.939297452752671	47.89698027937551
7	2214	5.685086277732128	53.58206655710764
8	2289	5.877670501232539	59.459737058340174
9	2221	5.703060805258834	65.16279786359901
10	2055	5.276807723911257	70.43960558751027
11	1772	4.55012325390304	74.98972884141331
12	1717	4.408894823336072	79.39862366474938
13	1324	3.3997534921939194	82.7983771569433
14	1268	3.255957271980279	86.05433442892358
15	1055	2.7090180772391124	88.76335250616269
16	765	1.9643590797041905	90.72771158586689
17	546	1.4020131470829909	92.12972473294988
18	500	1.2838948233360723	93.41361955628595
19	518	1.330115036976171	94.74373459326212
20	481	1.2351068200493016	95.97884141331141
21	555	1.4251232539030403	97.40396466721445
22	132	0.3389482333607231	97.74291290057518
23	62	0.15920295809367296	97.90211585866885
24	61	0.15663516844700082	98.05875102711585
25	39	0.10014379622021365	98.15889482333606
26	47	0.1206861133935908	98.27958093672964
27	42	0.10784716516023007	98.38742810188988
28	32	0.08216926869350863	98.46959737058339
29	42	0.10784716516023007	98.57744453574362
30	50	0.12838948233360722	98.70583401807723
31	29	0.07446589975349219	98.78029991783072
32	22	0.056491372226787184	98.8367912900575
33	22	0.056491372226787184	98.89328266228429
34	9	0.0231101068200493	98.91639276910435
35	25	0.06419474116680361	98.98058751027115
36	10	0.025677896466721445	99.00626540673787
37	10	0.025677896466721445	99.03194330320459
38	11	0.028245686113393592	99.06018898931798
39	15	0.03851684470008217	99.09870583401806
40	17	0.04365242399342646	99.14235825801148
41	11	0.028245686113393592	99.17060394412488
42	10	0.025677896466721445	99.1962818405916
43	10	0.025677896466721445	99.22195973705831
44	5	0.012838948233360722	99.23479868529168
45	13	0.03338126540673788	99.26817995069841
46	6	0.015406737880032868	99.28358668857844
47	15	0.03851684470008217	99.32210353327852
49	4	0.010271158586688579	99.33237469186521
50	6	0.015406737880032868	99.34778142974524
51	12	0.030813475760065736	99.37859490550531
52	7	0.017974527526705013	99.39656943303201
53	7	0.017974527526705013	99.41454396055872
54	9	0.0231101068200493	99.43765406737877
55	4	0.010271158586688579	99.44792522596546
56	4	0.010271158586688579	99.45819638455215
58	12	0.030813475760065736	99.48900986031222
59	2	0.005135579293344289	99.49414543960556
60	3	0.007703368940016434	99.50184880854557
61	1	0.0025677896466721447	99.50441659819225
62	5	0.012838948233360722	99.51725554642562
63	2	0.005135579293344289	99.52239112571895
64	1	0.0025677896466721447	99.52495891536563
65	2	0.005135579293344289	99.53009449465897
66	2	0.005135579293344289	99.5352300739523
67	3	0.007703368940016434	99.54293344289232
69	2	0.005135579293344289	99.54806902218566
70	2	0.005135579293344289	99.553204601479
71	3	0.007703368940016434	99.56090797041901
72	2	0.005135579293344289	99.56604354971235
74	2	0.005135579293344289	99.57117912900569
75	1	0.0025677896466721447	99.57374691865236
76	2	0.005135579293344289	99.5788824979457
79	1	0.0025677896466721447	99.58145028759238
80	2	0.005135579293344289	99.58658586688571
81	1	0.0025677896466721447	99.58915365653239
82	1	0.0025677896466721447	99.59172144617906
84	1	0.0025677896466721447	99.59428923582574
91	1	0.0025677896466721447	99.59685702547242
95	2	0.005135579293344289	99.60199260476575
97	1	0.0025677896466721447	99.60456039441243
98	1	0.0025677896466721447	99.6071281840591
100	1	0.0025677896466721447	99.60969597370578
101	1	0.0025677896466721447	99.61226376335246
